0,2011,2013,2015,2017,2018,|,0.4666,0.2221,0.2463,0.3560,0.2583,
1,2011,2013,2015,2017,2018,|,0.9883,0.6935,0.7903,0.4015,0.8249,
2,2011,2012,2014,2016,2018,|,1.4811,1.0392,1.8623,1.1224,0.8090,
3,2011,2013,2015,2017,2018,|,0.5453,0.6712,0.5432,0.6046,0.3605,
4,2011,2012,2014,2016,2018,|,0.6822,0.7906,0.7370,0.5212,0.4064,
5,2011,2013,2015,2017,2018,|,0.6128,0.5621,0.5219,0.7394,0.5689,
6,2011,2013,2015,2017,2018,|,0.2395,0.5153,0.3384,0.4587,0.3852,
7,2011,2013,2015,2017,2018,|,1.1205,0.8544,0.6410,0.5277,0.2445,
8,2011,2013,2015,2017,2018,|,0.8486,0.8483,0.7267,0.8189,0.7301,
9,2011,2013,2015,2017,2018,|,0.1841,0.1379,0.1028,0.1432,0.0672,
10,2011,2013,2015,2017,2018,|,0.9596,0.4988,0.8494,0.3963,0.3479,
11,2011,2013,2015,2017,2018,|,0.4355,0.7082,0.6289,0.4240,0.7427,
12,2011,2013,2015,2017,2018,|,0.7083,0.3440,0.3212,0.2600,0.1028,
13,2011,2013,2015,2017,2018,|,0.1909,0.1045,0.2227,0.2276,0.0926,
14,2011,2013,2015,2017,2018,|,1.6300,1.5283,1.3958,1.4567,1.3845,
15,2011,2013,2015,2017,2018,|,1.5203,0.4903,0.3485,0.4631,0.1735,
16,2011,2013,2015,2017,2018,|,0.3397,0.5448,0.7708,0.8916,0.6553,
17,2011,2013,2015,2017,2018,|,2.3176,1.9802,2.1657,2.1883,1.6651,
18,2011,2013,2015,2017,2018,|,0.5767,0.4707,0.4288,0.9361,1.2040,
19,2011,2013,2015,2017,2018,|,0.1575,0.5242,0.0291,0.0888,0.0518,
20,2011,2013,2015,2017,2018,|,0.3309,0.0946,0.1717,0.1046,0.0531,
21,2011,2013,2015,2017,2018,|,0.1581,0.1910,0.3019,0.3384,0.3706,
22,2011,2013,2015,2017,2018,|,0.6075,1.0670,1.1029,0.9655,0.8573,
23,2011,2013,2015,2017,2018,|,0.3645,0.4345,0.4442,0.9373,0.3717,
24,2011,2013,2015,2017,2018,|,0.6348,0.9883,0.8712,0.1805,0.2283,
25,2011,2013,2015,2017,2018,|,0.4529,1.0792,0.5424,0.4805,0.4103,
26,2011,2013,2015,2017,2018,|,0.9292,0.6769,1.5180,1.3665,0.2451,
27,2011,2013,2015,2017,2018,|,0.5411,0.5919,0.5933,0.6126,0.6266,
28,2011,2013,2015,2017,2018,|,0.5052,0.2778,0.3716,0.3767,0.4940,
29,2011,2013,2015,2017,2018,|,1.3180,1.1375,1.4450,1.0411,0.9656,
