,method,dataset,num_clusters,buffer,mae,acc
0,learned-theta,poultry_barns,64,100,0.16 +/- 0.04,0.94 +/- 0.01
1,learned-theta,poultry_barns,128,100,0.19 +/- 0.05,0.93 +/- 0.01
2,learned-theta,poultry_barns,64,400,0.21 +/- 0.05,0.92 +/- 0.02
3,learned-theta,poultry_barns,32,100,0.20 +/- 0.06,0.93 +/- 0.02
4,learned-theta,poultry_barns,64,200,0.16 +/- 0.05,0.94 +/- 0.02
5,learned-theta,poultry_barns,128,200,0.19 +/- 0.05,0.94 +/- 0.02
6,learned-theta,poultry_barns,16,50,0.20 +/- 0.05,0.92 +/- 0.02
7,learned-theta,poultry_barns,32,200,0.18 +/- 0.05,0.93 +/- 0.02
8,learned-theta,poultry_barns,16,200,0.22 +/- 0.05,0.91 +/- 0.02
9,learned-theta,poultry_barns,16,400,0.48 +/- 0.12,0.85 +/- 0.02
10,learned-theta,poultry_barns,32,400,0.27 +/- 0.05,0.90 +/- 0.02
11,learned-theta,poultry_barns,16,100,0.21 +/- 0.05,0.92 +/- 0.02
12,learned-theta,poultry_barns,128,400,0.23 +/- 0.06,0.92 +/- 0.02
13,lr,poultry_barns,64,100,0.11 +/- 0.05,0.96 +/- 0.01
14,lr,poultry_barns,128,100,0.14 +/- 0.04,0.95 +/- 0.01
15,lr,poultry_barns,64,400,0.15 +/- 0.05,0.95 +/- 0.01
16,lr,poultry_barns,32,100,0.12 +/- 0.04,0.96 +/- 0.01
17,lr,poultry_barns,64,200,0.15 +/- 0.05,0.95 +/- 0.01
18,lr,poultry_barns,128,200,0.14 +/- 0.05,0.95 +/- 0.01
19,lr,poultry_barns,16,50,0.13 +/- 0.04,0.95 +/- 0.01
20,lr,poultry_barns,32,200,0.15 +/- 0.04,0.95 +/- 0.01
21,lr,poultry_barns,16,200,0.14 +/- 0.04,0.95 +/- 0.01
22,lr,poultry_barns,16,400,0.21 +/- 0.07,0.94 +/- 0.02
23,lr,poultry_barns,32,400,0.14 +/- 0.05,0.95 +/- 0.02
24,lr,poultry_barns,16,100,0.11 +/- 0.04,0.96 +/- 0.01
25,lr,poultry_barns,128,400,0.14 +/- 0.05,0.95 +/- 0.01
26,learned-theta,poultry_barns_color,0,400,0.47 +/- 0.08,0.87 +/- 0.02
27,learned-theta,poultry_barns_color,0,200,0.39 +/- 0.09,0.89 +/- 0.02
28,learned-theta,poultry_barns_color,0,100,0.25 +/- 0.07,0.91 +/- 0.02
29,lr,poultry_barns_color,0,400,0.15 +/- 0.05,0.94 +/- 0.02
30,lr,poultry_barns_color,0,200,0.15 +/- 0.04,0.94 +/- 0.01
31,lr,poultry_barns_color,0,100,0.17 +/- 0.05,0.94 +/- 0.01
32,learned-theta,solar_farms_reduced,16,0.024,0.75 +/- 0.07,0.56 +/- 0.04
33,learned-theta,solar_farms_reduced,32,0.024,0.55 +/- 0.06,0.67 +/- 0.03
34,learned-theta,solar_farms_reduced,32,0.016,0.51 +/- 0.06,0.68 +/- 0.03
35,learned-theta,solar_farms_reduced,64,0.016,0.53 +/- 0.05,0.68 +/- 0.03
36,learned-theta,solar_farms_reduced,128,0.024,0.48 +/- 0.06,0.70 +/- 0.03
37,learned-theta,solar_farms_reduced,128,0.016,0.60 +/- 0.09,0.64 +/- 0.04
38,learned-theta,solar_farms_reduced,64,0.024,0.51 +/- 0.08,0.70 +/- 0.04
39,learned-theta,solar_farms_reduced,16,0.016,0.66 +/- 0.08,0.62 +/- 0.04
40,lr,solar_farms_reduced,16,0.024,0.51 +/- 0.06,0.64 +/- 0.03
41,lr,solar_farms_reduced,32,0.024,0.41 +/- 0.07,0.72 +/- 0.04
42,lr,solar_farms_reduced,32,0.016,0.32 +/- 0.04,0.75 +/- 0.03
43,lr,solar_farms_reduced,64,0.016,0.29 +/- 0.04,0.78 +/- 0.03
44,lr,solar_farms_reduced,128,0.024,0.27 +/- 0.04,0.78 +/- 0.03
45,lr,solar_farms_reduced,128,0.016,0.30 +/- 0.05,0.76 +/- 0.03
46,lr,solar_farms_reduced,64,0.024,0.30 +/- 0.04,0.78 +/- 0.03
47,lr,solar_farms_reduced,16,0.016,0.42 +/- 0.06,0.71 +/- 0.03
48,learned-theta,solar_farms_color,0,0.024,0.95 +/- 0.07,0.49 +/- 0.03
49,learned-theta,solar_farms_color,0,0.016,0.94 +/- 0.10,0.48 +/- 0.04
50,lr,solar_farms_color,0,0.024,0.49 +/- 0.06,0.65 +/- 0.04
51,lr,solar_farms_color,0,0.016,0.47 +/- 0.06,0.65 +/- 0.04
