0,2011,2013,2015,2017,2018,|,26.9955,18.1231,21.2892,27.8552,30.0423,
1,2011,2013,2015,2017,2018,|,25.5856,34.5557,28.1883,21.8746,17.6373,
2,2011,2012,2014,2016,2018,|,33.2208,54.4044,34.8950,42.9231,54.9896,
3,2011,2013,2015,2017,2018,|,3.4995,28.2749,12.5605,10.8093,17.6698,
4,2011,2012,2014,2016,2018,|,49.8406,29.6245,22.7608,36.4389,38.2564,
5,2011,2013,2015,2017,2018,|,22.2099,30.0839,20.3663,24.6374,32.7855,
6,2011,2013,2015,2017,2018,|,11.6552,25.3469,8.2413,18.3467,60.5326,
7,2011,2013,2015,2017,2018,|,53.6987,50.7324,69.7391,32.1457,39.0754,
8,2011,2013,2015,2017,2018,|,56.8698,28.6204,25.5153,103.4616,25.0638,
9,2011,2013,2015,2017,2018,|,28.5793,27.1626,27.4030,17.4534,24.5434,
10,2011,2013,2015,2017,2018,|,72.1065,49.3169,67.9205,29.6354,35.9433,
11,2011,2013,2015,2017,2018,|,22.1653,57.9975,42.8828,18.4029,58.8032,
12,2011,2013,2015,2017,2018,|,15.5055,14.4584,33.1989,16.6098,17.8469,
13,2011,2013,2015,2017,2018,|,24.3325,9.0016,24.5210,22.6447,17.8333,
14,2011,2013,2015,2017,2018,|,38.4946,49.6601,83.5803,86.8413,83.1593,
15,2011,2013,2015,2017,2018,|,19.9025,28.9207,40.1931,50.5036,19.7183,
16,2011,2013,2015,2017,2018,|,9.7127,25.6933,59.9121,25.5420,12.9691,
17,2011,2013,2015,2017,2018,|,50.2125,94.6920,92.9423,123.7105,82.7892,
18,2011,2013,2015,2017,2018,|,23.1510,32.6412,28.1815,53.7080,132.3259,
19,2011,2013,2015,2017,2018,|,4.7290,4.9221,1.2628,3.0345,2.7115,
20,2011,2013,2015,2017,2018,|,11.5167,2.6297,25.4968,11.2321,14.7172,
21,2011,2013,2015,2017,2018,|,34.6600,32.0056,38.8541,48.0698,43.6008,
22,2011,2013,2015,2017,2018,|,64.0355,60.0344,63.0505,79.7921,41.5307,
23,2011,2013,2015,2017,2018,|,29.1730,17.4811,24.7984,19.6394,30.0152,
24,2011,2013,2015,2017,2018,|,35.6965,38.6377,39.0127,20.4028,34.0230,
25,2011,2013,2015,2017,2018,|,51.9374,63.7082,50.0539,55.7581,41.0712,
26,2011,2013,2015,2017,2018,|,21.0433,29.7274,47.4437,40.9087,38.0720,
27,2011,2013,2015,2017,2018,|,31.7098,31.6563,33.3518,42.8199,29.7347,
28,2011,2013,2015,2017,2018,|,25.0558,34.1798,13.2284,23.6431,74.1720,
29,2011,2013,2015,2017,2018,|,58.0021,19.8813,75.2520,5.0329,44.5523,
30,2011,2013,2015,2017,2018,|,69.0489,108.3877,113.2743,71.0917,83.0848,
31,2011,2013,2015,2017,2018,|,2.0983,4.7678,2.2048,15.5865,9.3450,
32,2011,2013,2015,2017,2018,|,45.2506,85.2638,75.3469,81.8480,61.9449,
33,2011,2012,2014,2016,2018,|,3.9024,0.3326,1.7765,0.7743,1.4534,
34,2011,2012,2014,2016,2018,|,87.7346,43.5520,75.4096,41.1318,32.5401,
35,2011,2013,2015,2017,2018,|,15.0787,13.1697,9.7645,61.4699,17.2283,
36,2011,2013,2015,2017,2018,|,64.5771,37.6819,13.8223,30.8761,30.4826,
37,2011,2013,2015,2017,2018,|,5.8976,13.0717,3.0923,8.2386,13.6582,
38,2011,2013,2015,2017,2018,|,12.8758,15.8124,11.8261,10.8238,28.4623,
39,2011,2013,2015,2017,2018,|,12.5590,24.1372,19.7347,14.4919,14.4189,
40,2011,2013,2015,2017,2018,|,11.9303,38.8544,12.6085,55.3694,46.3612,
41,2011,2013,2015,2017,2018,|,9.7930,15.7063,71.3826,19.6652,25.0854,
42,2011,2013,2015,2017,2018,|,20.2765,20.4224,35.1847,23.1708,37.7022,
43,2011,2013,2015,2017,2018,|,30.4385,37.6018,41.3310,50.3586,47.8883,
44,2011,2012,2014,2016,2018,|,3.7475,6.3865,0.8290,1.6412,2.2148,
45,2011,2013,2015,2017,2018,|,11.9762,35.9910,31.1932,57.5708,43.4037,
46,2011,2013,2015,2017,2018,|,36.3207,9.3076,18.8798,39.7522,6.4699,
47,2011,2013,2015,2017,2018,|,42.7764,76.4352,17.5065,21.8847,22.6954,
