0,2011,2013,2015,2017,2018,|,0.3623,0.2342,0.2261,0.4796,0.3575,
1,2011,2013,2015,2017,2018,|,0.5381,0.4409,0.3985,0.1774,0.7446,
2,2011,2012,2014,2016,2018,|,0.8524,0.6015,1.3408,0.7553,0.5393,
3,2011,2013,2015,2017,2018,|,0.7914,0.8252,0.8378,0.8313,0.4898,
4,2011,2012,2014,2016,2018,|,0.4490,0.5517,0.4897,0.5821,0.2867,
5,2011,2013,2015,2017,2018,|,0.6910,0.6018,0.6828,0.7813,0.5586,
6,2011,2013,2015,2017,2018,|,0.3525,0.4354,0.3051,0.4233,0.3585,
7,2011,2013,2015,2017,2018,|,0.4821,0.3730,0.2056,0.1754,0.1014,
8,2011,2013,2015,2017,2018,|,0.5364,0.4836,0.6466,0.5030,0.4511,
9,2011,2013,2015,2017,2018,|,0.0594,0.0827,0.1073,0.1839,0.0652,
10,2011,2013,2015,2017,2018,|,0.5615,0.2952,0.5056,0.2646,0.1181,
11,2011,2013,2015,2017,2018,|,0.3178,0.5786,0.5629,0.3738,0.6712,
12,2011,2013,2015,2017,2018,|,0.6858,0.3455,0.3127,0.2045,0.0794,
13,2011,2013,2015,2017,2018,|,0.0770,0.0593,0.1357,0.1333,0.0387,
14,2011,2013,2015,2017,2018,|,1.1763,1.1323,1.1273,1.1219,1.0768,
15,2011,2013,2015,2017,2018,|,1.1692,0.2504,0.1049,0.6816,0.1495,
16,2011,2013,2015,2017,2018,|,0.5472,0.4384,0.6351,0.6443,0.4595,
17,2011,2013,2015,2017,2018,|,2.0329,1.6246,1.9519,1.7715,1.6268,
18,2011,2013,2015,2017,2018,|,0.7784,0.3689,0.4490,1.1983,1.0320,
19,2011,2013,2015,2017,2018,|,0.1093,0.3132,0.0457,0.0663,0.0178,
20,2011,2013,2015,2017,2018,|,0.2136,0.0744,0.1240,0.0796,0.0144,
21,2011,2013,2015,2017,2018,|,0.0607,0.1321,0.1610,0.2031,0.2797,
22,2011,2013,2015,2017,2018,|,0.7598,1.1190,1.0142,0.9095,0.7283,
