0,2016,2017,2018,2019,2020,|,1.4749,1.1716,1.0642,0.7784,0.6094,
1,2016,2017,2018,2019,2020,|,0.3737,0.3406,0.2597,0.3211,0.2006,
2,2016,2017,2018,2019,2020,|,1.8279,1.8968,1.9516,1.4032,1.3628,
3,2016,2017,2018,2019,2020,|,1.3928,1.3725,1.1402,1.1333,0.9090,
4,2016,2017,2018,2019,2020,|,0.9451,1.0670,0.9721,1.4300,1.5759,
5,2016,2017,2018,2019,2020,|,0.8777,1.2201,0.7037,1.1484,0.9598,
6,2016,2017,2018,2019,2020,|,2.5880,2.4754,2.4077,2.7988,2.0147,
7,2016,2017,2018,2019,2020,|,1.9869,1.8605,1.8500,1.7010,1.6865,
8,2016,2017,2018,2019,2020,|,1.5101,1.1780,1.3409,1.1054,1.0964,
9,2016,2017,2018,2019,2020,|,1.7537,1.9454,1.2706,1.5650,1.7142,
10,2016,2017,2018,2019,2020,|,0.6187,0.7383,0.6056,0.7266,0.6641,
11,2016,2017,2018,2019,2020,|,1.3007,1.0255,1.2733,1.3520,0.9863,
12,2016,2017,2018,2019,2020,|,2.0914,2.3148,1.9212,2.2829,2.0650,
13,2016,2017,2018,2019,2020,|,0.1556,0.2191,0.1229,0.1700,0.2606,
14,2016,2017,2018,2019,2020,|,1.9202,1.4415,1.6359,1.2286,1.8829,
15,2016,2017,2018,2019,2020,|,1.1344,1.3081,1.4542,1.3827,1.4854,
16,2016,2017,2018,2019,2020,|,0.9283,0.8254,0.9224,0.7260,0.9696,
17,2016,2017,2018,2019,2020,|,0.8703,1.2297,0.8838,0.8630,0.8532,
18,2016,2017,2018,2019,2020,|,0.6725,1.0727,1.3243,1.0273,1.1979,
19,2016,2017,2018,2019,2020,|,0.8674,0.3566,0.5492,0.8361,0.6565,
20,2016,2017,2018,2019,2020,|,0.8965,0.9609,1.1161,1.3749,0.8787,
21,2016,2017,2018,2019,2020,|,0.3889,0.2551,0.3742,0.4300,0.1806,
22,2016,2017,2018,2019,2020,|,1.4739,1.5307,1.8838,1.5976,1.7382,
23,2016,2017,2018,2019,2020,|,1.4617,1.3631,1.5748,1.9928,1.3822,
24,2016,2017,2018,2019,2020,|,1.3248,1.2752,1.4192,1.3640,1.5984,
25,2016,2017,2018,2019,2020,|,1.2939,0.3737,0.6601,0.3727,0.4355,
26,2016,2017,2018,2019,2020,|,0.6739,0.8544,0.7445,0.7369,0.7790,
27,2016,2017,2018,2019,2020,|,1.0698,1.1670,0.8698,0.7016,0.7978,
28,2016,2017,2018,2019,2020,|,2.2448,2.6762,2.4163,1.7288,2.9206,
29,2016,2017,2018,2019,2020,|,0.8535,1.2463,1.3116,1.1021,0.6629,
30,2016,2017,2018,2019,2020,|,1.4581,2.4646,1.8847,1.6357,1.3704,
31,2016,2017,2018,2019,2020,|,0.6772,0.7752,0.6278,0.6628,0.5868,
32,2016,2017,2018,2019,2020,|,0.5469,0.4743,0.7065,0.4487,0.2743,
33,2016,2017,2018,2019,2020,|,0.1831,0.2872,0.2822,0.3206,0.2280,
34,2016,2017,2018,2019,2020,|,1.0444,1.1199,0.9246,0.7254,0.7103,
35,2016,2017,2018,2019,2020,|,1.3988,1.9352,2.4868,1.8276,1.8329,
36,2016,2017,2018,2019,2020,|,1.2015,0.8685,0.4963,0.5414,0.3497,
37,2016,2017,2018,2019,2020,|,0.7724,0.7484,0.6986,0.7113,0.7762,
38,2016,2017,2018,2019,2020,|,0.9642,1.6446,1.0585,1.2722,1.2428,
39,2016,2017,2018,2019,2020,|,0.5805,0.6709,0.6860,0.7928,0.6022,
40,2016,2017,2018,2019,2020,|,2.4961,1.7371,1.8287,2.1101,1.8568,
41,2016,2017,2018,2019,2020,|,0.4141,0.4169,0.4878,0.4364,0.3027,
42,2016,2017,2018,2019,2020,|,0.7367,0.7472,1.0436,0.6382,0.8192,
43,2016,2017,2018,2019,2020,|,0.5557,0.6568,0.6496,0.7708,0.5464,
44,2016,2017,2018,2019,2020,|,0.6066,0.9629,0.6164,0.5030,0.3578,
45,2016,2017,2018,2019,2020,|,0.8829,0.9985,1.0563,1.0321,1.1916,
46,2016,2017,2018,2019,2020,|,2.2476,2.1534,2.4687,2.6655,2.2019,
47,2016,2017,2018,2019,2020,|,0.3757,0.3030,0.2099,0.2979,0.2814,
48,2016,2017,2018,2019,2020,|,1.8043,1.8992,1.3458,0.9547,0.9800,
49,2016,2017,2018,2019,2020,|,1.4484,1.3192,1.3199,1.4701,1.3468,
50,2016,2017,2018,2019,2020,|,1.8543,1.5260,1.5056,2.2438,1.5419,
51,2016,2017,2018,2019,2020,|,0.7872,0.7384,0.6657,0.4048,0.5366,
52,2016,2017,2018,2019,2020,|,0.4043,0.4134,0.4250,0.4434,0.4300,
53,2016,2017,2018,2019,2020,|,1.7245,2.1614,1.9677,2.2292,1.4553,
54,2016,2017,2018,2019,2020,|,1.6592,1.5220,1.6907,1.6471,1.5266,
55,2016,2017,2018,2019,2020,|,0.8691,1.6993,1.3956,1.0813,1.1523,
56,2016,2017,2018,2019,2020,|,1.7912,1.9548,1.8228,1.8897,1.9363,
57,2016,2017,2018,2019,2020,|,1.9944,1.9816,2.1042,1.6993,1.9287,
58,2016,2017,2018,2019,2020,|,1.2711,0.6085,0.4222,0.5895,0.8357,
59,2016,2017,2018,2019,2020,|,0.6245,0.5992,0.5802,0.6000,0.5526,
60,2016,2017,2018,2019,2020,|,0.5206,0.4120,0.4350,0.4694,0.2964,
61,2016,2017,2018,2019,2020,|,1.6258,1.5228,1.6203,1.5630,1.4909,
62,2016,2017,2018,2019,2020,|,1.4513,1.4305,1.5496,1.3053,1.3401,
63,2016,2017,2018,2019,2020,|,1.6903,1.7576,1.4979,1.4857,2.0447,
64,2016,2017,2018,2019,2020,|,0.7053,0.7573,0.9964,0.6677,0.7149,
65,2016,2017,2018,2019,2020,|,1.1964,1.1226,1.6058,1.6111,1.3400,
66,2016,2017,2018,2019,2020,|,1.0053,0.6567,0.9811,0.7184,nan,
67,2016,2017,2018,2019,2020,|,0.6920,0.7183,0.6825,0.7636,0.7822,
68,2016,2017,2018,2019,2020,|,0.5463,0.7490,0.7532,0.6791,0.6209,
69,2016,2017,2018,2019,2020,|,1.7516,1.4895,1.9171,1.4455,1.2868,
70,2016,2017,2018,2019,2020,|,0.7810,0.8292,0.9929,1.4816,0.6095,
