0,2016,2017,2018,2019,2020,|,0.4002,0.9892,3.0564,3.8649,4.1381,
1,2016,2017,2018,2019,2020,|,0.9337,1.1690,2.9536,3.3638,3.5691,
2,2016,2017,2018,2019,2020,|,1.2745,1.3676,2.7044,3.1971,3.0749,
3,2016,2017,2018,2019,2020,|,1.9138,3.8890,3.0192,3.3673,3.1348,
4,2016,2017,2018,2019,2020,|,0.6029,0.6491,2.3895,4.4281,4.4651,
5,2016,2017,2018,2019,2020,|,0.3676,0.4317,4.1266,3.6323,4.6083,
6,2016,2017,2018,2019,2020,|,inf,6.5110,5.6624,6.4185,7.0102,
7,2016,2017,2018,2019,2020,|,0.3033,4.1689,4.1133,3.9186,4.1266,
8,2016,2017,2018,2019,2020,|,0.8092,3.6556,3.5493,3.4461,3.6376,
9,2016,2017,2018,2019,2020,|,1.6517,0.5656,1.5556,4.4965,3.5365,
10,2016,2017,2018,2019,2020,|,0.3615,0.2333,0.9409,3.2066,3.5719,
11,2016,2017,2018,2019,2020,|,0.7397,0.6816,1.0561,3.2707,3.6440,
12,2016,2017,2018,2019,2020,|,1.9814,2.8870,3.4241,4.0255,4.0484,
13,2016,2017,2018,2019,2020,|,0.6492,0.6800,2.5519,3.3734,4.7218,
14,2016,2017,2018,2019,2020,|,0.8561,0.9617,2.6451,3.4108,3.8251,
15,2016,2017,2018,2019,2020,|,0.7152,0.6846,2.1850,4.9643,2.8575,
16,2016,2017,2018,2019,2020,|,0.5548,0.5584,3.2194,3.5971,3.7685,
17,2016,2017,2018,2019,2020,|,2.5226,4.8432,4.8609,4.8553,4.8857,
18,2016,2017,2018,2019,2020,|,1.2049,4.9154,4.6643,5.0995,5.2072,
19,2016,2017,2018,2019,2020,|,3.7779,3.2452,3.3735,3.5944,3.7414,
20,2016,2017,2018,2019,2020,|,2.2323,3.2752,3.7083,5.5087,3.9887,
21,2016,2017,2018,2019,2020,|,1.9273,1.1477,2.6098,2.8273,2.7982,
22,2016,2017,2018,2019,2020,|,0.6885,0.9314,2.3962,3.3156,2.5880,
23,2016,2017,2018,2019,2020,|,0.4431,0.8376,3.9491,4.2261,4.1397,
24,2016,2017,2018,2019,2020,|,1.0710,1.1591,4.6100,4.4804,4.6253,
25,2016,2017,2018,2019,2020,|,0.9773,1.0244,4.9753,4.7105,5.0000,
26,2016,2017,2018,2019,2020,|,1.5268,1.3052,4.2623,4.5410,4.4931,
27,2016,2017,2018,2019,2020,|,0.9553,6.4970,5.0454,5.7455,5.5604,
28,2016,2017,2018,2019,2020,|,0.6992,0.8106,4.6715,4.7781,4.6984,
29,2016,2017,2018,2019,2020,|,1.0463,1.1618,3.3031,4.1158,3.7858,
30,2016,2017,2018,2019,2020,|,0.7381,0.8879,3.4704,3.5770,3.4449,
31,2016,2017,2018,2019,2020,|,2.0512,2.0433,3.7324,3.8347,4.1812,
32,2016,2017,2018,2019,2020,|,1.2896,1.6222,3.8806,3.8234,4.0782,
33,2016,2017,2018,2019,2020,|,0.6766,1.1505,3.5144,3.7302,3.8098,
34,2016,2017,2018,2019,2020,|,0.7363,1.1488,4.2736,4.4275,4.4790,
35,2016,2017,2018,2019,2020,|,1.7592,2.9256,4.3338,3.9262,3.5711,
36,2016,2017,2018,2019,2020,|,1.7726,2.9154,3.6198,3.8831,3.6813,
37,2016,2017,2018,2019,2020,|,1.8585,4.8200,4.3899,5.4203,4.6954,
38,2016,2017,2018,2019,2020,|,1.6881,1.7288,4.1593,4.4686,4.3581,
39,2016,2017,2018,2019,2020,|,2.4773,1.9193,3.6495,3.9466,3.8950,
40,2016,2017,2018,2019,2020,|,0.6645,1.0328,2.1513,4.8346,5.8870,
41,2016,2017,2018,2019,2020,|,5.3431,5.8987,6.0217,5.1476,5.3878,
42,2016,2017,2018,2019,2020,|,4.6813,6.6668,6.1949,5.7778,6.5620,
43,2016,2017,2018,2019,2020,|,0.9299,0.9347,1.3755,2.0783,1.9073,
44,2016,2017,2018,2019,2020,|,0.4120,0.7082,2.4389,2.6112,4.0349,
45,2016,2017,2018,2019,2020,|,1.5296,1.1895,2.3985,2.6669,3.6576,
46,2016,2017,2018,2019,2020,|,2.8972,2.6137,3.8736,3.2281,3.3876,
47,2016,2017,2018,2019,2020,|,0.7821,0.4435,3.2668,3.5945,3.6680,
48,2016,2017,2018,2019,2020,|,1.6056,2.2722,3.0356,3.3385,2.5148,
49,2016,2017,2018,2019,2020,|,0.2722,0.2543,2.0041,2.6798,2.6886,
50,2016,2017,2018,2019,2020,|,0.7972,3.2359,3.7306,4.7946,5.5455,
51,2016,2017,2018,2019,2020,|,0.4412,2.3876,4.1728,3.7471,3.8107,
52,2016,2017,2018,2019,2020,|,0.7840,2.3207,3.7863,4.2099,inf,
53,2016,2017,2018,2019,2020,|,4.5647,3.2487,3.5183,3.3552,3.2225,
54,2016,2017,2018,2019,2020,|,1.0074,0.6857,0.7272,0.9059,5.1963,
55,2016,2017,2018,2019,2020,|,0.9168,3.5402,3.4776,3.9246,3.6615,
56,2016,2017,2018,2019,2020,|,0.9530,2.9398,3.0634,3.1663,2.9408,
57,2016,2017,2018,2019,2020,|,0.3747,3.2832,3.0474,3.2269,3.1921,
58,2016,2017,2018,2019,2020,|,1.8130,3.3121,3.1214,3.0714,3.0101,
59,2016,2017,2018,2019,2020,|,4.2742,3.3694,3.6693,3.8498,3.9752,
60,2016,2017,2018,2019,2020,|,3.8054,4.0824,3.5502,5.6157,4.3675,
61,2016,2017,2018,2019,2020,|,1.4962,1.2105,1.0533,1.1120,4.4565,
62,2016,2017,2018,2019,2020,|,0.4769,0.4586,3.7412,5.1524,5.4930,
63,2016,2017,2018,2019,2020,|,1.6339,2.4790,4.1907,4.2152,4.6108,
64,2016,2017,2018,2019,2020,|,1.8960,2.1598,3.1233,2.8028,5.1468,
65,2016,2017,2018,2019,2020,|,0.2422,0.2262,4.5744,5.8169,inf,
66,2016,2017,2018,2019,2020,|,2.7834,1.2048,1.6448,1.1175,3.9125,
67,2016,2017,2018,2019,2020,|,1.5568,1.4750,2.8579,2.7264,2.4998,
68,2016,2017,2018,2019,2020,|,1.2650,0.4636,1.2455,2.4570,2.1545,
69,2016,2017,2018,2019,2020,|,1.1362,0.4507,2.2309,2.9405,2.8962,
70,2016,2017,2018,2019,2020,|,0.4572,0.3848,3.5908,3.7558,3.5092,
71,2016,2017,2018,2019,2020,|,1.2864,0.5315,0.9726,3.9208,3.0425,
72,2016,2017,2018,2019,2020,|,1.2355,0.5403,1.1651,2.3295,2.1504,
73,2016,2017,2018,2019,2020,|,1.1577,1.1941,5.9328,6.1618,5.2350,
74,2016,2017,2018,2019,2020,|,2.9774,3.0408,4.2661,2.8806,3.6550,
75,2016,2017,2018,2019,2020,|,0.8234,1.2077,1.4305,2.5719,2.5721,
76,2016,2017,2018,2019,2020,|,0.3898,0.6066,1.8020,2.9625,2.7815,
77,2016,2017,2018,2019,2020,|,1.0349,1.1109,2.5131,2.2762,2.1317,
78,2016,2017,2018,2019,2020,|,1.8549,2.0695,2.0854,2.7105,2.3758,
79,2016,2017,2018,2019,2020,|,1.6032,1.9797,3.6554,3.7366,3.1737,
